H,S,V,R,G,B,bias,label
56.0,124.0,87.0,47.0,139.0,124.0,1.0,1.0
56.0,138.0,127.0,34.0,151.0,138.0,1.0,1.0
60.0,143.0,129.0,36.0,148.0,143.0,1.0,1.0
54.0,126.0,110.0,38.0,147.0,126.0,1.0,1.0
63.0,141.0,129.0,35.0,140.0,141.0,1.0,1.0
92.0,159.0,168.0,27.0,116.0,168.0,1.0,1.0
82.0,157.0,161.0,28.0,125.0,161.0,1.0,1.0
63.0,126.0,127.0,30.0,130.0,128.5,1.0,1.0
70.0,137.0,111.0,43.0,127.0,137.0,1.0,1.0
71.0,137.0,105.0,45.0,122.0,137.0,1.0,1.0
73.0,137.0,108.0,44.0,120.0,137.0,1.0,1.0
67.0,141.0,98.0,48.0,134.0,141.0,1.0,1.0
62.0,129.0,92.0,47.0,133.0,129.0,1.0,1.0
61.0,121.0,82.0,49.0,128.0,121.0,1.0,1.0
73.0,132.0,106.5,43.0,114.0,132.0,1.0,1.0
73.0,135.0,109.0,43.0,117.0,135.0,1.0,1.0
77.0,128.0,119.0,35.0,104.0,130.0,1.0,1.0
77.0,132.0,107.0,44.0,107.0,132.0,1.0,1.0
68.0,124.0,96.0,45.0,116.0,124.0,1.0,1.0
71.0,124.0,139.0,23.0,124.0,139.0,1.0,1.0
59.0,117.5,94.0,42.0,127.0,117.5,1.0,1.0
55.0,113.0,90.0,42.0,131.0,113.0,1.0,1.0
59.0,122.0,97.0,42.0,131.0,122.0,1.0,1.0
58.0,118.0,103.5,38.0,130.0,118.0,1.0,1.0
62.0,121.0,111.0,36.0,125.0,122.0,1.0,1.0
60.0,123.0,101.5,41.0,132.0,123.0,1.0,1.0
60.0,122.0,104.0,40.0,130.0,122.0,1.0,1.0
80.0,133.5,143.0,26.0,114.0,144.0,1.0,1.0
56.0,113.0,92.0,42.0,130.0,113.0,1.0,1.0
58.0,122.0,96.0,43.0,134.0,122.0,1.0,1.0
53.0,115.0,88.0,43.0,138.0,115.0,1.0,1.0
55.0,117.0,94.0,41.0,135.0,117.0,1.0,1.0
57.0,114.0,93.0,42.0,126.0,114.0,1.0,1.0
52.0,107.0,92.0,40.0,133.0,108.0,1.0,1.0
56.0,116.0,97.0,39.0,133.0,116.0,1.0,1.0
65.0,126.0,109.0,39.0,124.0,126.0,1.0,1.0
62.0,133.0,106.0,41.0,136.0,133.0,1.0,1.0
63.0,129.5,101.0,43.0,131.0,129.5,1.0,1.0
67.0,132.0,113.0,39.0,126.0,132.0,1.0,1.0
80.0,131.0,130.0,29.5,102.0,135.0,1.0,1.0
